,Media Type,Name of Piece,Front Cover,Back Cover,Box #,Number of Songs,Genre,Lyrics By,Music By,Publisher Location,Publisher Company,Publisher,Copyright Date,Misc. / Notes / Other,downloaded_filename,drive_file_id
1,Record,I'm Sitting Pretty in a Pretty Little City - Fox Trot (Side 1) & Arcady - Fox Trot (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 16EaXVz-QYNpMobNCK4c,16EaXVz-QYNpMobNCK4cERdM74MoP21iU
2,Record,Chiming Bells of Long Ago,,,,,,,,,,,,,NOT DOWNLOADED: 1hPftq-7Axl3p8wlvfsw,1hPftq-7Axl3p8wlvfswAn_7vBV5kQh9x
3,Record,Cigarette- Tango (Side 1) & The Cup of Sorrow - Tango,,,,,,,,,,,,,NOT DOWNLOADED: 1MRqNGpQ_VcCi9Cbw229,1MRqNGpQ_VcCi9Cbw229Nw1igDKapfBhO
4,Record,Somebody's Wrong - Fox Trot (Side 1) & Love Tales - Fox Trot (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1Jl55ktF5iOPXkHa9_M8,1Jl55ktF5iOPXkHa9_M8ewxSG2Ukh1Ik0
5,Record,"You - Fox Trot (Side 1) & Do You, Don't You, Will You, Won't You Love Me Too- Fox Trot (Side 2)",,,,,,,,,,,,,NOT DOWNLOADED: 1U-5oXSwN3dPWhpJMWQ4,1U-5oXSwN3dPWhpJMWQ4zU9bYYu1ltmr-
6,Record,Roses Are Red (My Love) (Side 1) & You And I (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 18LhnNpCNpLX2gXaIyrr,18LhnNpCNpLX2gXaIyrrCfe6JZhUAuPvh
7,Record,Alaska's Flag (Side 1) & Aleut Lullaby (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1QSHSZs0yRZkfuLdC6Df,1QSHSZs0yRZkfuLdC6DfhewFbKKFw-uEe
8,Record,"Bells Are Ringing & The Party's Over (Side 1) & Mu-Cha-Cha & Hello, Hello, There (Side 2)",,,,,,,,,,,,,NOT DOWNLOADED: 1gMVtDScFr8booiOfanO,1gMVtDScFr8booiOfanObShvHYNok2pfm
9,Record,Bonanza (Side 1) & The Navajo Kid (Side 2),,,,,,,,,,,,,NOT DOWNLOADED: 1chHqJ-TWMAyktfUvTkV,1chHqJ-TWMAyktfUvTkVwKzNtpWraniBU
10,Record,"Look For The Silver Lining, Why Do I Love You, The Way You Look Tonight, & Make Believe (Side 1) & In The Garden Of My Heart, Dear Old Girl, Meet Me In St. Louis, & Daisies Won't Tell (Side 2)",,,,,,,,,,,,,NOT DOWNLOADED: 1vcBN08iZ_UlqHcWbiGb,1vcBN08iZ_UlqHcWbiGbsRtlK78fglU7R
