,,,,,,,,,,,,,,,downloaded_filename,drive_file_id
1,"Media Type (Sheet, Book, or Records)",Name of Piece,Front Cover,Back Cover,Box #,Number of Songs,Genre,Lyrics By,Music By,Publisher Location,Publisher Company,Publisher,Copyright Date,Misc. / Notes / Other,,
2,Book,The Laughing Little Red-Head Coon,Front Cover,Back Cover,1,1,Lullaby,Ellis G. Berg,Ellis G. Berg,1293 B'way; NY,Harry Tillmann & Co.,,1899,Front Cover: Red colors and a picture of a black baby frame in the top middle.,NOT DOWNLOADED: 1ptCgjwIHePYL7xYFZDz,1ptCgjwIHePYL7xYFZDzG5cxJGCKuVJWk
3,Book,M & S Two-Step March,Front Cover,Back Cover,1,2,Popular Vocal (piano),None,Eduard Holst,Broadway & 47 St. NY,The Mathushek & Son Piano Co.,,1899,Front Cover: A child playing the piano.,NOT DOWNLOADED: 1ynO4UZEFRmjIek-wZFx,1ynO4UZEFRmjIek-wZFx8CcUqE_dmtSLb
4,Book,Castles In The Air,Front Cover,Back Cover,1,2,Waltz,Joseph Herbert,Paul Lincke,102-104 W. 38th St. NY,Jos. W. Stern & Co.,,1900,Front Cover: Purple details and a picture of Mr. Julius Steger (singer),NOT DOWNLOADED: 1vVZwWeEo0dASZLsEvZc,1vVZwWeEo0dASZLsEvZcLlkpdaYSh_mdd
5,Book,"Smiles, Smiles, Smiles",Front Cover,Back Cover,1,2,Romance,Byrd Dougherty,Wm. H. Penn,Chicago,Sol Bloom Cor.,,1901,,NOT DOWNLOADED: 1VWYc8b4vvxjORYa--s5,1VWYc8b4vvxjORYa--s5N9ZeX1BDWjULW
6,Sheet,Morocco Bound,Front Cover,Back Cover,1,1,Historical,Wm. Herman West,Wm. Herman West,,Sol Bloom Cor Randoph & Dearborn St.,,1901,Front Cover: Red letters and a picture of a man in the left.,NOT DOWNLOADED: 1NtyeK_whbtg9Uw96rY_,1NtyeK_whbtg9Uw96rY_9Zf4rUdQmVC2s
7,Book,The Girl You Love,Front Cover,Back Cover,1,1,Romance,Paul A. Rubens,Paul A. Rubens,NY and Chicago,"Metzler & Co., Ltd",,1902,,NOT DOWNLOADED: 1su1WvQCbTKwkYh8j8n1,1su1WvQCbTKwkYh8j8n1Hto2atcbS46UP
8,Book,The Meaning of USA,Front Cover,Back Cover,1,2,Historical,Raymond A. Browne,Raymond A. Browne,1568-1570 Broadway NY,American Advance Music Co.,,1902,"Front Cover: Bold Letter with white, blue, and red details.",NOT DOWNLOADED: 1PXNOqveHLekAFdnwdT2,1PXNOqveHLekAFdnwdT2WB5aNgbpm0_Cm
9,Book,Sweet Irish Kate,Front Cover,Back Cover,1,1,Waltz,Tem Guiness,Herman Berl,265 Sixth Ave. NY,Francis Mack Publ. Co.,,1904,Front Cover: A man courting a woman.,NOT DOWNLOADED: 1rioc3y4UFH7wsy8T8VM,1rioc3y4UFH7wsy8T8VMKmi4R1-pp_dZL
10,Book,Sister March Song,Front Cover,Back Cover,1,1,Popular Vocal (piano),Alan M. Rattray,Clarence Vaughan,"31 West 31st Street, NY",Chas. K. Harris,,1905,Front Cover: Orange color with flowers framing a woman's picture.,NOT DOWNLOADED: 1JUV7sYZhtXtno3lE85U,1JUV7sYZhtXtno3lE85UFkxswBzexzg2h
